"Event","Phylum","Subphylum","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Species","Det_level","base_name","known_class","longlab"
"ONAQ02320160913","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Harpalinae","Cyclotrachelus","Cyclotrachelus torvus","Species","Cyclotrachelus torvus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"ONAQ02320160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","indet.","indet.","indet.","Family","Cecidomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"ONAQ02320160913","Arthropoda","Myriapoda","Chilopoda","Pleurostigmophora","NULL","Scolopendromorpha","NULL","NULL","NULL","Cryptopidae","NULL","Scolopocryptops","Scolopocryptops sexspinosus","Species","Scolopocryptops sexspinosus","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"ONAQ02320160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Platypezoidea","Phoridae","Metopininae","Megaselia","indet.","Genus","Megaselia","Diptera","Arthropoda_Insecta_Diptera"
"ORNL00120160329","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"ORNL00120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"ORNL00120160705","Annelida","NULL","Clitellata","Oligochaeta","Metagynophora","Opisthopora","Crassiclitellata","NULL","Lumbricoidea","Lumbricidae","Lumbricinae","Dendrobaena","Dendrobaena octaedra","Species","Dendrobaena octaedra","Annelida","Annelida_Annelida_Annelida"
"ORNL00120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL00120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius maculatus","Species","Allonemobius maculatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL00120160705","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pirata","Pirata alachuus","Species","Pirata alachuus","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL00120160705","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa ocreata","Species","Schizocosa ocreata","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL00120160705","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Corinnidae","NULL","Castianeira","Castianeira walsinghami","Species","Castianeira walsinghami","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL00120160705","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"ORNL00120160927","Arthropoda","Myriapoda","Chilopoda","Pleurostigmophora","NULL","Scolopendromorpha","NULL","NULL","NULL","Cryptopidae","NULL","Scolopocryptops","Scolopocryptops sexspinosus","Species","Scolopocryptops sexspinosus","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"ORNL02120160329","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"ORNL02120160329","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Julida","NULL","NULL","Paeromopodoidea","Julidae","NULL","Ophyiulus","Ophyiulus pilosus","Species","Ophyiulus pilosus","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"ORNL02120160329","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pirata","Pirata alachuus","Species","Pirata alachuus","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL02120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL02120160705","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"ORNL02120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Neonemobius","Neonemobius cubensis","Species","Neonemobius cubensis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL02120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"ORNL02120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL02120160705","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pirata","Pirata alachuus","Species","Pirata alachuus","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL02120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Aedes","Aedes vexans","Species","Aedes vexans","Diptera","Arthropoda_Insecta_Diptera"
"ORNL02120160705","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Gladicosa","Gladicosa gulosa","Species","Gladicosa gulosa","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL02120161011","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Neonemobius","Neonemobius cubensis","Species","Neonemobius cubensis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL02120161011","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL02120161011","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"ORNL02920160329","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"ORNL02920160329","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa saltatrix","Species","Schizocosa saltatrix","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL02920160329","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"ORNL02920160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta bolliana","Species","Parcoblatta bolliana","Blattodea","Arthropoda_Insecta_Blattodea"
"ORNL02920160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"ORNL02920160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"ORNL02920160705","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"ORNL02920161011","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"ORNL02920161011","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Muscoidea","Anthomyiidae","indet.","indet.","indet.","Family","Anthomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"ORNL02920161011","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","Tenebrioninae","Eleodes","Eleodes extricatus","Species","Eleodes extricatus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"OSBS00120160407","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa ocreata","Species","Schizocosa ocreata","Araneae","Arthropoda_Arachnida_Araneae"
"OSBS00120160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta uhleriana","Species","Parcoblatta uhleriana","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS00120160908","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","indet.","indet.","indet.","indet.","Superfamily","Blattoidea","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS00420160407","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS00420160407","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Pictonemobius","indet.","Genus","Pictonemobius","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160407","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160407","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Aedes","Aedes vexans","Species","Aedes vexans","Diptera","Arthropoda_Insecta_Diptera"
"OSBS00420160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS00420160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Pictonemobius","indet.","Genus","Pictonemobius","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160630","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","NULL","Erigone","Erigone autumnalis","Species","Erigone autumnalis","Araneae","Arthropoda_Arachnida_Araneae"
"OSBS00420160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta bolliana","Species","Parcoblatta bolliana","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS00420160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160630","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"OSBS00420160908","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS00420160908","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Pictonemobius","indet.","Genus","Pictonemobius","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160908","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160908","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"OSBS00420160908","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS00420160908","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta bolliana","Species","Parcoblatta bolliana","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS00420160908","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Muscoidea","Anthomyiidae","indet.","indet.","indet.","Family","Anthomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","NULL","Pseudolycoriella","Pseudolycoriella cavatica","Species","Pseudolycoriella cavatica","Diptera","Arthropoda_Insecta_Diptera"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"OSBS02220160407","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pardosa","Pardosa alacris","Species","Pardosa alacris","Araneae","Arthropoda_Arachnida_Araneae"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Aedes","Aedes vexans","Species","Aedes vexans","Diptera","Arthropoda_Insecta_Diptera"
"OSBS02220160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Neonemobius","Neonemobius cubensis","Species","Neonemobius cubensis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS02220160630","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa ocreata","Species","Schizocosa ocreata","Araneae","Arthropoda_Arachnida_Araneae"
"OSBS02220160630","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus rubens","Species","Gryllus rubens","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OSBS02220160908","Arthropoda","Myriapoda","Chilopoda","Pleurostigmophora","NULL","Scolopendromorpha","NULL","NULL","NULL","Cryptopidae","NULL","Scolopocryptops","Scolopocryptops sexspinosus","Species","Scolopocryptops sexspinosus","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"OSBS02220160908","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"SCBI00420160719","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Polydesmida","Paradoxosomatidea","NULL","NULL","Paradoxosomatidae","NULL","Oxidus","Oxidus gracilis","Species","Oxidus gracilis","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"SCBI00420160719","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pirata","Pirata alachuus","Species","Pirata alachuus","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00420160719","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa ocreata","Species","Schizocosa ocreata","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00420160719","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"SCBI00420160927","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pirata","Pirata alachuus","Species","Pirata alachuus","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00420160927","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Polydesmida","Paradoxosomatidea","NULL","NULL","Paradoxosomatidae","NULL","Oxidus","Oxidus gracilis","Species","Oxidus gracilis","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"SCBI00420160927","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Corinnidae","NULL","Castianeira","Castianeira variata","Species","Castianeira variata","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00420160927","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa ocreata","Species","Schizocosa ocreata","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00420160927","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Culex","Culex salinarius","Species","Culex salinarius","Diptera","Arthropoda_Insecta_Diptera"
"SCBI00420160927","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"SCBI00420160927","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus veletis","Species","Gryllus veletis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"SCBI00420160927","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Eunemobius","Eunemobius carolinus","Species","Eunemobius carolinus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"SCBI00620160426","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa ocreata","Species","Schizocosa ocreata","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00620160426","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Julida","NULL","NULL","Paeromopodoidea","Julidae","NULL","Ophyiulus","Ophyiulus pilosus","Species","Ophyiulus pilosus","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"SCBI00620160426","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pardosa","Pardosa alacris","Species","Pardosa alacris","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00620160426","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Callipodida","NULL","NULL","NULL","Abacionidae","NULL","Abacion","Abacion magnum","Species","Abacion magnum","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"SCBI00620160426","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Pirata","Pirata alachuus","Species","Pirata alachuus","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00620160426","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Polydesmida","Paradoxosomatidea","NULL","NULL","Paradoxosomatidae","NULL","Oxidus","Oxidus gracilis","Species","Oxidus gracilis","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"SCBI00620160426","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Thomisidae","NULL","Xysticus","Xysticus ferox","Species","Xysticus ferox","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Harpalinae","Cyclotrachelus","Cyclotrachelus torvus","Species","Cyclotrachelus torvus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"SCBI00620160426","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"SCBI00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Velarifictorus","Velarifictorus micado","Species","Velarifictorus micado","Orthoptera","Arthropoda_Insecta_Orthoptera"
"SCBI00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"SCBI00620160719","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Polydesmida","Paradoxosomatidea","NULL","NULL","Paradoxosomatidae","NULL","Oxidus","Oxidus gracilis","Species","Oxidus gracilis","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"SCBI00620160719","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","NULL","Callipodida","NULL","NULL","NULL","Abacionidae","NULL","Abacion","Abacion magnum","Species","Abacion magnum","Myriapoda","Arthropoda_Myriapoda_Myriapoda"
"SCBI00620160719","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Neonemobius","Neonemobius cubensis","Species","Neonemobius cubensis","Orthoptera","Arthropoda_Insecta_Orthoptera"
"SCBI00620160719","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia sinensis","Species","Homidia sinensis","Collembola","Arthropoda_Collembola_Collembola"
"SCBI00620160719","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"SCBI00620160719","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","Parcoblatta pensylvanica","Species","Parcoblatta pensylvanica","Blattodea","Arthropoda_Insecta_Blattodea"
"SCBI00620160927","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Neonemobius","Neonemobius cubensis","Species","Neonemobius cubensis","Orthoptera","Arthropoda_Insecta_Orthoptera"
