event,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BLAN00120160428,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0
BLAN00320160428,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
BLAN00320160623,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0
BLAN00320160929,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0
CLBJ03220160525,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
CLBJ03220160720,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
CLBJ03220160914,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
CLBJ04220160525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CLBJ04220160720,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CLBJ04220160914,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
CPER00220160714,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0
CPER00520160505,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0
CPER00520160714,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
CPER00520160922,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0
DEJU00320160720,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1
DEJU00320160817,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
DEJU00320160831,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
DEJU02120160720,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1
DEJU02120160817,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0
DEJU02120160831,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
DELA00620160426,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1
DELA00620160705,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0
DELA00620160913,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
DELA01420160426,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1
DELA01420160705,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0
DELA01420160913,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0
GUAN00820160502,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
GUAN00820160725,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
GUAN00820161003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
GUAN00920160502,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
HEAL01020160907,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
HEAL02620160615,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1
HEAL02620160727,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0
HEAL02620160907,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1
JORN00220160419,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1
JORN00220160712,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
JORN01020160419,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
JORN01020160712,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
JORN01020161004,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
KONZ00720160614,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
KONZ00720160906,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
KONZ02520160405,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0
KONZ02520160614,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1
KONZ02520160906,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1
LAJA00120160503,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
LAJA00120161004,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
LAJA01520160503,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
