"Species","Genus","Subfamily","Family","Superfamily","Infraorder","Suborder","Order","Superorder","Subclass","Class","Subphylum","Phylum"
"Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Mollusca","Mollusca"
"Geocoridae","Geocoridae","Geocoridae","Geocoridae","Lygaeoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Geophilidae","Geophilidae","Geophilidae","Geophilidae","Geophiloidea","Adesmata","Adesmata","Geophilomorpha","Pleurostigmophora","Pleurostigmophora","Myriapoda","Myriapoda","Arthropoda"
"Geophilomorpha","Geophilomorpha","Geophilomorpha","Geophilomorpha","Geophilomorpha","Geophilomorpha","Geophilomorpha","Geophilomorpha","Pleurostigmophora","Pleurostigmophora","Myriapoda","Myriapoda","Arthropoda"
"Gryllidae","Gryllidae","Gryllidae","Gryllidae","Grylloidea","Gryllidea","Ensifera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Gryllotalpidae","Gryllotalpidae","Gryllotalpidae","Gryllotalpidae","Gryllotalpoidea","Gryllidea","Ensifera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Hemiptera","Hemiptera","Hemiptera","Hemiptera","Hemiptera","Hemiptera","Hemiptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Heteroptera","Heteroptera","Heteroptera","Heteroptera","Heteroptera","Heteroptera","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Hexapoda","Arthropoda"
"Hirudiniformes","Hirudiniformes","Hirudiniformes","Hirudiniformes","Hirudiniformes","Hirudiniformes","Hirudiniformes","Hirudinida","Hirudinea","Hirudinea","Clitellata","Annelida","Annelida"
