Event,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Det_level
MOAB00320161004,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Tanytarsus,Tanytarsus formosanus,Species
MOAB00420161004,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,NULL,Erythraeoidea,Erythraeidae,indet.,indet.,indet.,Family
MOAB00420161004,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
NIWO00220160809,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Formicinae,Lasius,Lasius umbratus,Species
NIWO00220160906,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Miroidea,Miridae,Mirinae,Phytocoris,Phytocoris stellatus,Species
NIWO00320160628,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,NULL,Erythraeoidea,Erythraeidae,Erythraeinae,Erythraeus,indet.,Genus
NIWO00320160726,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,NULL,Erythraeoidea,Erythraeidae,Erythraeinae,Erythraeus,indet.,Genus
NIWO00320160906,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,NULL,Erythraeoidea,Erythraeidae,Erythraeinae,Erythraeus,indet.,Genus
NOGP00520160524,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
NOGP00520160524,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
NOGP00520160524,Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Julida,NULL,NULL,Paeromopodoidea,Julidae,indet.,indet.,indet.,Family
NOGP00520160719,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
NOGP00520160719,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
NOGP00520160913,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
NOGP00520160913,Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Julida,NULL,NULL,Paeromopodoidea,Julidae,indet.,indet.,indet.,Family
NOGP00520160913,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
NOGP00520160913,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Formicinae,Lasius,Lasius umbratus,Species
NOGP00920160524,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
NOGP00920160524,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
NOGP00920160524,Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Julida,NULL,NULL,Paeromopodoidea,Julidae,indet.,indet.,indet.,Family
NOGP00920160524,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
NOGP00920160719,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
NOGP00920160719,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
NOGP00920160719,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
NOGP00920160913,Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Julida,NULL,NULL,Paeromopodoidea,Julidae,indet.,indet.,indet.,Family
NOGP00920160913,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
NOGP00920160913,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
NOGP00920160913,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,Aporrectodea caliginosa,Species
ONAQ00220160426,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
ONAQ00220160913,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilinae,Ceuthophilus,indet.,Genus
ONAQ00220160705,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Silphidae,Nicrophorinae,Thanatophilus,Thanatophilus lapponicus,Species
ONAQ02320160705,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,indet.,indet.,indet.,Family
ONAQ02320160705,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Pseudosinella,Pseudosinella octopunctata,Species
ONAQ02320160705,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Armadillidiidae,NULL,Armadillidium,Armadillidium vulgare,Species
ONAQ02320160913,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilinae,Ceuthophilus,indet.,Genus
ONAQ02320160913,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,NULL,Erythraeoidea,Erythraeidae,indet.,indet.,indet.,Family
ORNL00120160329,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Opiliones,Eupnoi,NULL,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum,Leiobunum vittatum,Species
ORNL00120160927,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Nemobiinae,Allonemobius,Allonemobius maculatus,Species
ORNL00120160927,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Entomobrya,Entomobrya clitellaria,Species
ORNL02120160329,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus castaneus,Species
ORNL02120160329,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
ORNL02120160329,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
ORNL02120160705,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
ORNL02120160705,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
ORNL02120161011,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Armadillidiidae,NULL,Armadillidium,Armadillidium vulgare,Species
ORNL02120161011,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Leiodidae,Leiodinae,Charonites,indet.,Genus
ORNL02920160329,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,indet.,Genus
ORNL02920160329,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Octolasion,indet.,Genus
ORNL02920160705,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
ORNL02920160705,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Nemobiinae,Allonemobius,Allonemobius maculatus,Species
ORNL02920160705,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Octolasion,indet.,Genus
ORNL02920160705,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Leiodidae,Leiodinae,Charonites,indet.,Genus
ORNL02920161011,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Nemobiinae,Allonemobius,Allonemobius maculatus,Species
ORNL02920161011,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilinae,Ceuthophilus,Ceuthophilus pallidipes,Species
SCBI00420160719,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
SCBI00420160927,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Opiliones,Eupnoi,NULL,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum,Leiobunum vittatum,Species
SCBI00620160426,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
SCBI00620160426,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
SCBI00620160426,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,indet.,Genus
SCBI00620160426,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
SCBI00620160426,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,Homidia socia,Species
SCBI00620160719,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
SCBI00620160719,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
SCBI00620160719,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
SCBI00620160927,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Opiliones,Eupnoi,NULL,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum,Leiobunum vittatum,Species
SCBI00620160927,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Octolasion,indet.,Genus
SCBI00620160927,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
SCBI00620160927,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
SCBI00620160927,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,Homidia socia,Species
SCBI00620160927,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
SCBI00620160927,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,indet.,Genus
SCBI00620160927,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus terrestris,Species
SERC00320160519,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
SERC00320160519,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Octolasion,indet.,Genus
SRER00120160412,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
SRER00120160719,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
SRER00120161011,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
SRER00120161011,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,NULL,Erythraeoidea,Erythraeidae,indet.,indet.,indet.,Family
SRER00620160426,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,indet.,indet.,indet.,Family
SRER00620160719,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Psorophora,Psorophora confinnis,Species
SRER00620160719,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Formicinae,Formica,indet.,Genus
SRER00620160719,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,indet.,indet.,indet.,Family
STEI00220160914,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
STEI00220160914,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
STEI00220160720,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
STEI00220160720,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
STEI00820160511,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilinae,Ceuthophilus,Ceuthophilus pallidipes,Species
STEI00820160511,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Opiliones,Eupnoi,NULL,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum,indet.,Genus
STEI00820160720,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,indet.,Genus
STEI00820160720,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
STEI00820160720,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
STEI00820160720,Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Julida,NULL,NULL,Paeromopodoidea,Julidae,indet.,indet.,indet.,Family
STEI00820160914,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
STEI00820160914,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,Aporrectodea caliginosa,Species
STEI00820160914,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilinae,Ceuthophilus,Ceuthophilus pallidipes,Species
STEI00820160914,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
STEI00820160914,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TALL00220160706,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Nemobiinae,Allonemobius,Allonemobius maculatus,Species
TREE00120160517,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00120160517,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
TREE00120160712,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00120160908,Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Julida,NULL,NULL,Paeromopodoidea,Julidae,indet.,indet.,indet.,Family
TREE00120160908,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
TREE00120160908,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00220160517,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00220160517,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
TREE00220160517,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,indet.,Genus
TREE00220160712,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00220160908,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00220160908,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Leiodidae,Leiodinae,Charonites,indet.,Genus
TREE00220160908,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
TREE00320160517,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00320160712,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00320160712,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
TREE00320160712,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,Aporrectodea caliginosa,Species
TREE00320160908,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
TREE00320160908,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
TREE00320160908,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilinae,Ceuthophilus,Ceuthophilus pallidipes,Species
UKFS00620160329,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Octolasion,indet.,Genus
UKFS00620160329,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
UKFS00920160705,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Armadillidiidae,NULL,Armadillidium,Armadillidium nasatum,Species
UKFS00920161011,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Armadillidiidae,NULL,Armadillidium,Armadillidium nasatum,Species
UKFS00920161011,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Psorophora,Psorophora confinnis,Species
UNDE00320160524,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
UNDE00320160524,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
UNDE00320160524,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,Aporrectodea caliginosa,Species
UNDE00320160719,Arthropoda,Crustacea,Crustacea,Eumalacostraca,Peracarida,Isopoda,Oniscidea,Ligiamorpha,Armadilloidea,Trachelipodidae,NULL,Trachelipus,Trachelipus rathkii,Species
UNDE00320160719,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Lepidocyrtinae,Lepidocyrtus,Lepidocyrtus paradoxus,Species
UNDE00320160719,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
UNDE00320160913,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus rubellus,Species
UNDE01720160524,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Aporrectodea,Aporrectodea caliginosa,Species
UNDE01720160524,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Opiliones,Eupnoi,NULL,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum,indet.,Genus
UNDE01720160719,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Lumbricus,Lumbricus terrestris,Species
UNDE01720160913,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Rhaphidophoridae,Ceuthophilinae,Ceuthophilus,Ceuthophilus pallidipes,Species
